Dzongkhag,Gewog,Hospital1_per(KM),Hospital2_per(KM),Hospital3_per(KM),Female,Male,Total,,,,,,,,,,,,,,,,,,
Pemagatshel,Nanong,39.7,0,0,1067,1056,2123,,,,,,,,,,,,,,,,,,
Pemagatshel,Shumar,8.3,0,0,1648,1478,3126,,,,,,,,,,,,,,,,,,
Pemagatshel,Zobel,11.7,0,0,864,832,1696,,,,,,,,,,,,,,,,,,
Pemagatshel,Chhoekhorling,0,16.8,0,365,338,703,,,,,,,,,,,,,,,,,,
Pemagatshel,Dechenling,200,0,0,890,790,1680,,,,,,,,,,,,,,,,,,
Pemagatshel,Norboogang,187,0,0,645,723,1368,,,,,,,,,,,,,,,,,,
Pemagatshel,Denchi Town,15.4,0,0,113,227,340,,,,,,,,,,,,,,,,,,
Pemagatshel,Nganglam Town,164,0,0,2555,2863,5418,,,,,,,,,,,,,,,,,,
Pemagatshel,Old pemagatshel Town,8.6,0,0,491,547,1038,,,,,,,,,,,,,,,,,,
Pemagatshel,Yalang Town,0,0,0,33,29,62,,,,,,,,,,,,,,,,,,
Pemagatshel,Kherigonpa,5.9,0,0,32,29,61,,,,,,,,,,,,,,,,,,
Pemagatshel,Mongling Town,5.8,0,0,17,21,38,,,,,,,,,,,,,,,,,,
Pemagatshel,Khothakpa Town,12.1,0,0,68,78,146,,,,,,,,,,,,,,,,,,
Punakha,Baarp,11.7,0,0,2411,2531,4942,,,,,,,,,,,,,,,,,,
Punakha,Chhubu,19.3,0,0,735,916,1651,,,,,,,,,,,,,,,,,,
Punakha,Dzomi,10.6,0,0,1111,1036,2147,,,,,,,,,,,,,,,,,,
Punakha,Goenshari,22.4,0,0,281,413,694,,,,,,,,,,,,,,,,,,
Punakha,Guma,1.6,0,0,1298,1454,2752,,,,,,,,,,,,,,,,,,
Punakha,Kabjisa,11.1,0,0,1246,1296,2542,,,,,,,,,,,,,,,,,,
Punakha,Lingmukha,15.4,0,0,483,535,1018,,,,,,,,,,,,,,,,,,
Punakha,Shengana,16.9,0,0,481,522,1003,,,,,,,,,,,,,,,,,,
Punakha,Talo,16.3,0,0,577,628,1205,,,,,,,,,,,,,,,,,,
Punakha,Toepisa,21.6,0,0,1145,1282,2427,,,,,,,,,,,,,,,,,,
Punakha,Toedwang,18.6,0,0,693,620,1313,,,,,,,,,,,,,,,,,,
Punakha,Punakha Town,0.2,0,0,2822,3440,6262,,,,,,,,,,,,,,,,,,
Punakha,Lobesa Town,11.5,0,0,378,406,784,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,BOOMDELING,9.4,0,0,1099,1043,2142,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,JAMKHAR,39.2,0,0,483,516,999,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,TONGMAJANGSA,44.9,0,0,892,890,1782,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,YANGTSE,12.8,0,0,669,684,1353,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,RAMJAR,45.6,0,0,589,624,1213,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,KHAMDANG,26.6,0,0,1668,1644,3312,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,TOEDTSHO,34.8,0,0,836,744,1580,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,YALANG,30.5,0,0,685,687,1372,,,,,,,,,,,,,,,,,,
