Country,Dzongkhag,Gewog/Town,Gewog_Latitude,Gewog_Longitude,Total_Female,Total_Male,Total_Population
Bhutan,Mongar,Drepoong,27.27948,91.26872901,477,427,904
Bhutan,Mongar,Mongar,27.27803619,91.23533363,1803,1681,3484
Bhutan,Mongar,Tsakaling,27.32895044,91.21858182,542,544,1086
Bhutan,Mongar,Tsamang,27.36763866,91.17952141,488,444,932
Bhutan,Pema Gatshel,Denchi Town,27.01846945,91.39967367,113,227,340
Bhutan,Pema Gatshel,Nganglam Town,26.85074809,91.24671388,2555,2863,5418
Bhutan,Pema Gatshel,Old Pema Gatsel Town,27.04131301,91.40219764,491,547,1038
Bhutan,Pema Gatshel,Kherigonpa Town,27.05116809,91.42669096,32,29,61
Bhutan,Pema Gatshel,Mongling Town,27.04764595,91.42722048,17,21,38
Bhutan,Pema Gatshel,Khothakpa Town,27.02731792,91.40809492,68,78,146
Bhutan,Pema Gatshel,Nangkhor Town,27.07110917,91.38878128,240,282,522
Bhutan,Pema Gatshel,Yalang Town,27.02030321,91.41584965,33,29,62
Bhutan,Pema Gatshel,Chhimoong,27.04176576,91.29383102,288,276,564
Bhutan,Pema Gatshel,Chogshing,27.00851934,91.38231898,419,352,771
Bhutan,Pema Gatshel,Dungmaed,26.9863372,91.33205017,609,662,1271
Bhutan,Pema Gatshel,Khar,26.9953122,91.39501541,557,820,1377
Bhutan,Pema Gatshel,Yurung,27.02143611,91.34323947,1612,516,2128
Bhutan,Pema Gatshel,Nanong,27.1232823,91.45801971,1067,1056,2123
Bhutan,Pema Gatshel,Shumar,27.04527009,91.38153798,1648,1478,3126
Bhutan,Pema Gatshel,Zobel,27.06607451,91.4623676,864,832,1696
Bhutan,Pema Gatshel,Chhoekhorling,26.83152001,91.34261339,365,338,703
Bhutan,Pema Gatshel,Dechhenling,26.91978771,91.2214208,890,790,1680
Bhutan,Pema Gatshel,Norbugang,26.86044086,91.12670964,645,723,1368
Bhutan,Paro,Paro Town,27.42781519,89.40551736,5620,5828,11448
Bhutan,Paro,Beteykha Town,27.24509181,89.41443114,235,230,465
Bhutan,Paro,Dokar,27.30934049,89.54138829,1211,1116,2327
Bhutan,Paro,Loong-nyi,27.39145025,89.42682438,2274,2453,4727
Bhutan,Paro,Nagya,27.25007716,89.41030098,1623,1664,3287
Bhutan,Paro,Sharpa,27.38567015,89.45391731,2683,3258,5941
Bhutan,Paro,Dopshar-ri,27.45964343,89.43259228,1710,1623,3333
Bhutan,Paro,Doteng,27.47950791,89.4281128,652,651,1303
Bhutan,Paro,Hoongrel,27.43163144,89.41952838,70,266,336
Bhutan,Paro,Lamgong,27.45364767,89.36479621,2874,2972,5846
